stockSymbol,currentPrice,earningsGrowth,ebitda,ebitdaMargins,grossMargins,grossProfits,current_ratio,debt_to_eqr,ROA,ROE,net_profit_margin,revenueGrowth,operatingCashflow,operatingMargins,profitMargins,quickRatio,revenuePerShare,totalCash,totalCashPerShare,totalDebt,totalRevenue,operatingMargins
BIOCON.NS,386.75,1.042,16526000128,0.23256999,0.6892,48973000000,1.805,43.235,0.035550002,0.10772,0.10421,0.163,11596999680,0.13193,0.10421,1.243,59.879,40169000960,33.791,36783001600,71057997824,0.13193
RELIANCE.NS,1948.95,1.011,807370031104,0.17291,0.37313,1742230000000,1.344,27.99,0.02722,0.08525,0.105220005,0.093,261850005504,0.116000004,0.105220005,0.901,725.838,2309670043648,358.316,2237639950336,4669240246272,0.116000004
ALKYLAMINE.NS,3473,0.398,3653468416,0.33363,0.56372,4972694000,0,5.472,0,0,0.23017,0.261,0,0.30647,0.23017,0,536.552,906073984,44.387,347091008,10950714368,0.30647
MARKSANS.NS,71.9,1,2963529984,0.21454,0.56505,5810343597,0,5.282,0,0,0.14608,0.246,0,0.19799,0.14608,0,34.007,1543939968,3.72,398809984,13813329920,0.19799
IBULHSGFIN.NS,186.05,-0.427,0,0,0.98616,38926100000,0,459.196,0,0,0.45435002,-0.432,0,0.55651003,0.45435002,0,54.758,128179503104,287.637,733862690816,23382800384,0.55651003
MRF.NS,77880,1.157,27111249920,0.17983,0.42141,64313500000,0,17.942,0,0,0.10772,0.139,0,0.11444,0.10772,0,35546.965,50805698560,11979.27,22565799936,150759800832,0.11444
MARICO.NS,474.1,0.131,15909999616,0.19769,0.46943,37780000000,1.657,14.426,0.17266001,0.38099998,0.14563,0.345,20679999488,0.18042,0.14563,0.977,62.351,15770000384,12.242,4700000256,80480002048,0.18042
TATACONSUM.NS,649.4,0.288,15146649600,0.13807,0.41294998,41551800000,0,9.599,0,0,0.06621,0.231,0,0.1168,0.06621,0,119.008,26322300928,28.562,14610599936,109698400256,0.1168
BAJFINANCE.NS,5389.8,0.417,0,0,0.92781997,160225700000,5.533,287.065,0.02631,0.12765001,0.25594,-0.004,-8809499648,0.34699002,0.25594,5.513,287.491,21761800192,36.199,1059798188032,172690505728,0.34699002
GICHSGFIN.NS,123.7,3.288,0,0,0.98788,3022500000,0,956.134,0,0,0.1354,0.394,0,0.15634,0.1354,0,71.71,736499968,13.672,117397897216,3862700032,0.15634
UNIONBANK.NS,38,-0.527,0,0,0,40366559000,0,0,-0.0014200001,-0.021860002,-0.07896,0.981,0,-0.16595,-0.07896,0,25.039,319312101376,49.712,574320869376,141697155072,-0.16595
BANKBARODA.NS,76.5,0,0,0,0,193423751000,0,0,0.00238,0.036140002,0.12314,0.964,0,0.07827,0.12314,0,48.312,328572698624,71.157,967981596672,223153651712,0.07827
RBLBANK.NS,193.05,-0.446,0,0,0,37831400000,0,0,0.00558,0.04558,0.13994999,-0.06,-76111798272,0.18821,0.13994999,0,69.665,67047399424,112.424,112261398528,37831401472,0.18821
FEDERALBNK.NS,81.1,-0.075,0,0,0,56066744000,0,0,0,0,0.25410998,0.073,0,0.33405,0.25410998,0,29.062,197628198912,99.254,134791102464,57932042240,0.33405
BANDHANBNK.NS,283,-0.133,0,0,0,64799597252,0,0,0,0.16731001,0.42468,-0.029,0,0.56848,0.42468,0,38.314,42730000384,26.546,126669996032,61687128064,0.56848
AXISBANK.NS,701.75,0,0,0,0,289249600000,0,0,0.00748,0.07625,0.24876,0,-528333307904,0.33708,0.24876,0,97.241,634243579904,207.001,1522487263232,289249591296,0.33708
ICICIBANK.NS,617.45,2.691,0,0,0,1023000000000,0,0,0.0138,0.13716,0.17971,0.366,-211402604544,0.25443,0.17971,0,151.689,463021998080,66.939,1438999379968,1022999986176,0.25443
KOTAKBANK.NS,1732.2,0.361,0,0,0,404774900000,0,0,0.02167,0.13147001,0.24681,0.697,-135900602368,0.32533002,0.24681,0,204.733,366781792256,182.306,477388996608,404774912000,0.32533002
HDFCBANK.NS,1422.7,0.152,0,0,0,777974000000,0,0,0.01885,0.16447,0.40918,0.137,-1450372759552,0.55009997,0.40918,0,141.502,1212725067776,220.004,1776967483392,777973989376,0.55009997
